module:input:0:NUM_RUNS	module:input:0:nThreads	module:input:0:numOptions	module:measure:PAPI:PAPI_FP_INS	module:measure:PAPI:PAPI_MFLOPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
1	1	10000	2398477	9.845704325844905e-05	20410605844	7.628241	1426651763.051492	1426651755.423225	9296	7816
1	1	10000	2384238	9.800978184171136e-05	20410541047	7.580215	1426651781.83151	1426651774.251289	12464	7816
1	1	10000	2396299	9.830238825341289e-05	20413779201	7.605794	1426651800.62657	1426651793.020752	9292	7816
1	1	1000	236117	9.723548941074523e-05	2039977501	0.757667	1426651585.691203	1426651584.933529	2492	-2780
1	1	1000	238968	9.857783820998684e-05	2039974124	0.759927	1426651597.572551	1426651596.812617	2492	-2780
1	1	1000	238363	9.831648644249482e-05	2039971817	0.757543	1426651609.464505	1426651608.706955	2492	-2780
1	1	100	23997	9.862863575187556e-05	204901475	0.076261	1426651447.758601	1426651447.682334	1516	-3840
1	1	100	24166	9.937068454193109e-05	204901190	0.076377	1426651458.956132	1426651458.879748	1516	-3840
1	1	100	23803	9.736173862091685e-05	204903931	0.077125	1426651470.149351	1426651470.072219	1516	-3840
1	1	10	2516	9.492058304930411e-05	21822106	0.015015	1426651380.754046	1426651380.739025	1412	-3836
1	1	10	2583	9.839492469607472e-05	21822229	0.008657	1426651391.895504	1426651391.886841	1412	-3836
1	1	10	2578	9.772119332360316e-05	21822651	0.008958000000000001	1426651403.020834	1426651403.011865	1412	-3836
1	1	2000	472472	9.706363098291283e-05	4078858331	1.521876	1426651622.132552	1426651620.610669	3624	-1584
1	1	2000	478197	9.858202205629616e-05	4078847056	1.513065	1426651634.786195	1426651633.273124	3624	-1584
1	1	2000	472526	9.717202155094003e-05	4078873629	1.522206	1426651647.45269	1426651645.930477	3624	-1584
1	1	200	47253	9.687854907920848e-05	408901610	0.152132	1426651481.451007	1426651481.298868	1624	-3708
1	1	200	47351	9.736521114747464e-05	408898949	0.152007	1426651492.72402	1426651492.572007	1624	-3708
1	1	200	47640	9.794799384652214e-05	408899705	0.151687	1426651504.022347	1426651503.870653	1624	-3708
1	1	5000	1187385	9.7464410665258e-05	10203632914	3.810123	1426651662.434314	1426651658.624185	6956	1928
1	1	5000	1198075	9.848336442443743e-05	10203610997	3.79541	1426651677.414711	1426651673.619294	6956	1928
1	1	5000	1195167	9.84078123785779e-05	10203915610	3.79406	1426651692.367229	1426651688.573144	3788	1928
1	1	500	118610	9.76438214933463e-05	1020006424	0.379405	1426651515.549655	1426651515.170244	1960	-3316
1	1	500	117684	9.708896223478206e-05	1020532455	0.377703	1426651527.046602	1426651526.668893	1960	-3316
1	1	500	118590	9.782049196522902e-05	1020024510	0.388869	1426651538.554157	1426651538.165283	1960	-3316
1	1	50	12126	9.736518847799984e-05	104061371	0.040404	1426651414.213966	1426651414.173556	1460	-3840
1	1	50	11959	9.642809578474727e-05	104058193	0.039056	1426651425.375426	1426651425.336363	1460	-3840
1	1	50	12382	9.950152964114567e-05	104061055	0.040384	1426651436.532155	1426651436.491764	1460	-3840
1	1	8000	1923645	9.889860895993111e-05	16325032757	6.075604	1426651709.648772	1426651703.573142	7092	5436
1	1	8000	1899066	9.729442644172962e-05	16325076379	6.085549	1426651726.918641	1426651720.833067	7092	5436
1	1	8000	1909302	9.780138434462337e-05	16325101054	6.10304	1426651744.208948	1426651738.105881	7092	5436
1	1	800	188313	9.687895534695984e-05	1631417636	0.608853	1426651550.312986	1426651549.704126	2272	-2920
1	1	800	188838	9.763065030609387e-05	1631416404	0.607499	1426651562.041116	1426651561.433611	2272	-2920
1	1	800	188780	9.73030986006296e-05	1631408843	0.6102880000000001	1426651573.785738	1426651573.175444	2272	-2920
