module:pub_input::N	module:pub_input::ops	module:measure:PAPI:PAPI_FP_INS	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start
1000	668666688	2041699	12916	21125814	0.002695	1425451905.212328	1425451905.209627
1000	668666688	2041513	13056	21125815	0.002696	1425452130.77703	1425452130.774328
1000	668666688	2041376	13083	21125941	0.002695	1425452355.795111	1425452355.79241
100	686666.6875	20483	880	410085	0.000162	1425451892.350527	1425451892.350359
100	686666.6875	20533	876	410085	0.000162	1425452117.867978	1425452117.86781
100	686666.6875	20424	860	410085	0.000166	1425452342.85883	1425452342.858657
10	866.6666870117188	209	679	187817	0.000133	1425451890.123966	1425451890.123827
10	866.6666870117188	204	693	187817	0.000129	1425452115.663347	1425452115.663213
10	866.6666870117188	216	675	187817	0.000132	1425452340.651892	1425452340.651754
2000	-385289728	8167330	36230	83569181	0.010449	1425451913.322366	1425451913.311911
2000	-385289728	8171697	36321	83569181	0.010573	1425452138.913352	1425452138.902773
2000	-385289728	8172582	37014	83569181	0.010562	1425452363.915348	1425452363.904779
200	5413333.5	81823	1459	1051380	0.000249	1425451893.455506	1425451893.45525
200	5413333.5	81848	1401	1051380	0.000242	1425452118.993186	1425452118.992939
200	5413333.5	81859	1488	1051381	0.000255	1425452343.975689	1425452343.975428
3000	-593524928	18403797	80793	187512252	0.023894	1425451938.472428	1425451938.448527
3000	-593524928	18403971	80036	187512252	0.023861	1425452164.06566	1425452164.041792
3000	-593524928	18405180	80764	187512252	0.023872	1425452389.017857	1425452388.993978
300	18180000	183774	2170	2108162	0.000374	1425451894.587706	1425451894.587326
300	18180000	183637	2041	2108161	0.000368	1425452120.133969	1425452120.133595
300	18180000	183723	2014	2108161	0.00038	1425452345.112181	1425452345.111794
4000	-251006288	32690731	128523	332955175	0.042211	1425451996.639296	1425451996.597077
4000	-251006288	32780409	216793	332955178	0.044796	1425452225.276219	1425452225.231414
4000	-251006288	32778913	216600	332955178	0.044864	1425452450.268032	1425452450.22316
400	42986668	328720	3286	3579961	0.000588	1425451895.758574	1425451895.75798
400	42986668	328773	3373	3579961	0.0005820000000000001	1425452121.302492	1425452121.301904
400	42986668	329031	3353	3579961	0.0005820000000000001	1425452346.2832	1425452346.282612
5000	347298944	51162000	318049	519898259	0.068797	1425452112.44125	1425452112.372445
5000	347298944	51051206	181055	519898255	0.065619	1425452337.459629	1425452337.394003
5000	347298944	51162495	317934	519898259	0.06918100000000001	1425452564.011266	1425452563.942078
500	83833336	512760	5385	5466876	0.000819	1425451896.987214	1425451896.986389
500	83833336	512850	5362	5466876	0.00082	1425452122.538188	1425452122.537363
500	83833336	512859	5088	5466876	0.000844	1425452347.529625	1425452347.528775
50	88333.3359375	5139	730	244315	0.000148	1425451891.246963	1425451891.246808
50	88333.3359375	5157	712	244315	0.000145	1425452116.766491	1425452116.76634
50	88333.3359375	5159	716	244315	0.000144	1425452341.763116	1425452341.762966
600	144720000	737866	6574	7768283	0.001095	1425451898.312772	1425451898.31167
600	144720000	737694	6576	7768283	0.001095	1425452123.860661	1425452123.85956
600	144720000	737698	6589	7768283	0.001095	1425452348.857018	1425452348.855918
700	229646672	1003347	8031	10486197	0.001431	1425451899.752605	1425451899.751169
700	229646672	1003360	8016	10486196	0.001426	1425452125.309209	1425452125.307778
700	229646672	1003454	8065	10486196	0.001425	1425452350.300449	1425452350.299018
800	342613344	1308685	9310	13617573	0.001808	1425451901.35266	1425451901.350846
800	342613344	1308734	9569	13617573	0.001801	1425452126.911935	1425452126.910128
800	342613344	1308726	9410	13617572	0.001817	1425452351.904616	1425452351.902781
900	487620000	1654406	11326	17163820	0.002232	1425451903.156374	1425451903.154136
900	487620000	1654423	11166	17163922	0.00223	1425452128.722505	1425452128.720269
900	487620000	1654169	11298	17163922	0.002248	1425452353.72336	1425452353.721106
