module:input:0:its	module:input:0:nx	module:measure:time:time
100	15	0.002861
100	15	0.002909
30	15	0.002915
50	25	0.011197
50	25	0.011006
500	25	0.01087
500	25	0.010809
500	25	0.011078
600	25	0.01106
600	25	0.01094
600	25	0.010833
100	28	0.015207
100	28	0.015311
30	15	0.00289
100	28	0.014936
20	28	0.015108
20	28	0.014916
20	28	0.015321
200	28	0.014893
200	28	0.015201
200	28	0.014965
30	28	0.014977
30	28	0.015187
30	28	0.015201
300	15	0.002904
300	28	0.015236
300	28	0.014981
300	28	0.015226
400	28	0.015307
400	28	0.015266
400	28	0.015011
50	28	0.01495
50	28	0.014803
50	28	0.015239
500	28	0.015456
300	15	0.002844
500	28	0.015261
500	28	0.01525
600	28	0.015195
600	28	0.015208
600	28	0.015275
100	30	0.018664
100	30	0.018573
100	30	0.018334
20	30	0.018553
20	30	0.018435
300	15	0.00289
20	30	0.018493
200	30	0.01831
200	30	0.018202
200	30	0.018185
30	30	0.018508
30	30	0.018397
30	30	0.018259
300	30	0.018103
300	30	0.018465
300	30	0.01817
400	15	0.002909
400	30	0.018116
400	30	0.018206
400	30	0.018612
50	30	0.018153
50	30	0.018584
50	30	0.018489
500	30	0.018638
500	30	0.01866
500	30	0.018253
600	30	0.018255
400	15	0.002912
600	30	0.018744
600	30	0.018295
100	35	0.029009
100	35	0.028794
100	35	0.028639
20	35	0.028994
20	35	0.02865
20	35	0.029515
200	35	0.028523
200	35	0.028382
400	15	0.002899
200	35	0.028974
30	35	0.028714
30	35	0.028582
30	35	0.028415
300	35	0.029514
300	35	0.02899
300	35	0.028437
400	35	0.028986
400	35	0.028495
400	35	0.028498
50	15	0.002896
50	35	0.028664
50	35	0.028642
50	35	0.028956
500	35	0.029051
500	35	0.029197
500	35	0.029394
600	35	0.028979
600	35	0.028736
600	35	0.028887
100	40	0.042531
50	15	0.002846
100	40	0.042795
100	40	0.04269
20	40	0.042419
20	40	0.042658
20	40	0.04281
200	40	0.042396
200	40	0.042272
200	40	0.042527
30	40	0.042104
30	40	0.042271
100	15	0.002893
50	15	0.002941
30	40	0.042381
300	40	0.042746
300	40	0.043008
300	40	0.043107
400	40	0.042428
400	40	0.042678
400	40	0.04226
50	40	0.04204
50	40	0.042626
50	40	0.04277
500	15	0.002875
500	40	0.042295
500	40	0.042879
500	40	0.042376
600	40	0.043034
600	40	0.043013
600	40	0.042949
500	15	0.002897
500	15	0.002858
600	15	0.002821
600	15	0.002917
600	15	0.002846
100	20	0.005827
100	20	0.005914
100	20	0.005994
20	15	0.005579
20	20	0.005927
20	20	0.005873
20	20	0.005844
200	20	0.005808
200	20	0.005918
200	20	0.005973
30	20	0.005935
30	20	0.005918
30	20	0.005923
300	20	0.00593
20	15	0.002823
300	20	0.005939
300	20	0.005784
400	20	0.00594
400	20	0.005974
400	20	0.005982
50	20	0.005995
50	20	0.005893
50	20	0.005838
500	20	0.005975
500	20	0.005912
20	15	0.002899
500	20	0.005953
600	20	0.005957
600	20	0.005977
600	20	0.005932
100	22	0.007741
100	22	0.007697
100	22	0.0077
20	22	0.007913
20	22	0.007601
20	22	0.007688
200	15	0.002848
200	22	0.007518
200	22	0.007772
200	22	0.007717
30	22	0.007823
30	22	0.007653
30	22	0.007767
300	22	0.00773
300	22	0.007672
300	22	0.007757
400	22	0.007757
200	15	0.002892
400	22	0.0076
400	22	0.007683
50	22	0.00793
50	22	0.007704
50	22	0.007721
500	22	0.00771
500	22	0.007753
500	22	0.00771
600	22	0.007731
600	22	0.007705
200	15	0.002934
600	22	0.007593
100	25	0.010949
100	25	0.010995
100	25	0.011001
20	25	0.011014
20	25	0.010688
20	25	0.011008
200	25	0.01102
200	25	0.010961
200	25	0.011017
30	15	0.002855
30	25	0.010964
30	25	0.011208
30	25	0.011012
300	25	0.01104
300	25	0.010953
300	25	0.01103
400	25	0.011057
400	25	0.01082
400	25	0.010737
50	25	0.010908
