module:pub_input::N	module:pub_input::ops	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start
1000	668666688	0.843167	1425331219.541306	1425331218.698127
1000	668666688	0.843284	1425331440.040945	1425331439.19765
2000	-385289728	6.694271	1425331448.133767	1425331441.439375
2000	-385289728	6.690836	1425331668.789188	1425331662.098226
200	5413333.5	0.007761	1425331207.798495	1425331207.790722
200	5413333.5	0.00756	1425331428.21431	1425331428.206738
200	5413333.5	0.00772	1425331648.882365	1425331648.874634
3000	-593524928	23.091912	1425331252.609351	1425331229.517318
3000	-593524928	23.083571	1425331473.102107	1425331450.018416
3000	-593524928	23.089655	1425331693.780597	1425331670.69082
300	18180000	0.024273	1425331208.919651	1425331208.895367
300	18180000	0.024834	1425331429.347318	1425331429.322472
1000	668666688	0.842815	1425331660.708385	1425331659.865558
300	18180000	0.024107	1425331650.034423	1425331650.010304
4000	-251006288	55.006922	1425331310.339907	1425331255.332865
4000	-251006288	55.017919	1425331530.8159	1425331475.79786
4000	-251006288	55.030048	1425331751.534475	1425331696.504307
400	42986668	0.055844	1425331210.102374	1425331210.046518
400	42986668	0.055891	1425331430.53889	1425331430.482987
400	42986668	0.057597	1425331651.206799	1425331651.14919
5000	347298944	107.488275	1425331421.633126	1425331314.144728
5000	347298944	107.508849	1425331642.158155	1425331534.649182
5000	347298944	107.520651	1425331862.916318	1425331755.395546
100	686666.6875	0.001271	1425331206.69228	1425331206.690997
500	83833336	0.111137	1425331211.33076	1425331211.21961
500	83833336	0.107763	1425331431.779774	1425331431.671999
500	83833336	0.111442	1425331652.453367	1425331652.341913
50	88333.3359375	0.00045	1425331205.596312	1425331205.59585
50	88333.3359375	0.000427	1425331425.974269	1425331425.973828
50	88333.3359375	0.00043	1425331646.664917	1425331646.664475
600	144720000	0.184927	1425331212.663673	1425331212.478735
600	144720000	0.184942	1425331433.103406	1425331432.918452
600	144720000	0.184828	1425331653.788467	1425331653.603629
700	229646672	0.292167	1425331214.094604	1425331213.802425
100	686666.6875	0.001306	1425331427.084311	1425331427.082993
700	229646672	0.301064	1425331434.558944	1425331434.257868
700	229646672	0.291911	1425331655.225958	1425331654.934035
800	342613344	0.434052	1425331215.70504	1425331215.270976
800	342613344	0.434058	1425331436.17702	1425331435.742951
800	342613344	0.444875	1425331656.834446	1425331656.389559
900	487620000	0.616185	1425331217.496966	1425331216.880769
900	487620000	0.630336	1425331437.993991	1425331437.363643
900	487620000	0.616097	1425331658.640884	1425331658.024776
100	686666.6875	0.001265	1425331647.766605	1425331647.765329
10	866.6666870117188	0.003026	1425331204.500497	1425331204.497456
10	866.6666870117188	0.000285	1425331424.86007	1425331424.859774
10	866.6666870117188	0.000341	1425331645.563335	1425331645.562982
2000	-385289728	6.696167	1425331227.622393	1425331220.926107
